case_id,transaction_id,customer_id,event_type,leakage_category,amount,amount_at_risk,timestamp,payment_method,payment_status,failure_reason,checkout_started,checkout_completed,subscription_status,mandate_status,invoice_status,invoice_due_date,days_overdue,retry_count,previous_attempt_count,customer_purchase_count,customer_success_rate,customer_lifetime_value,previous_payment_behavior,customer_opt_out,suspicious_flag,communication_allowed,historical_recovery_behavior,ground_truth_recoverable,ground_truth_recovery_outcome,amount_recovered,recovery_observed,recovery_reason,split
CASE00001,TXN000001,CUST00053,payment_success,successful,1607.56,0.0,2026-06-20 21:00:00,Netbanking,success,,True,True,,,,,,0,0,10,0.921,56483.36,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00002,TXN000002,CUST00418,subscription_renewal_failed,failed_subscription,430.46,430.46,2026-08-04 16:00:00,UPI,failed_recurring,UPI timeout,,,failed,active_pending_retry,,,,0,0,17,0.968,33387.03,reliable,False,False,True,usually_recovers_via_retry,True,recovered,430.46,True,retry_succeeded,train
CASE00003,TXN000003,CUST00275,payment_success,successful,3627.63,0.0,2026-08-16 22:00:00,UPI,success,,True,True,,,,,,0,0,20,0.868,37791.3,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00004,TXN000004,CUST00349,payment_success,successful,1247.71,0.0,2026-07-24 18:00:00,Card,success,,True,True,,,,,,0,0,21,0.935,18296.07,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00005,TXN000005,CUST00022,payment_success,successful,3394.88,0.0,2026-06-22 20:00:00,UPI,success,,True,True,,,,,,0,0,6,0.767,3806.0,occasional_failure,False,True,False,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
CASE00006,TXN000006,CUST00228,payment_success,successful,512.6,0.0,2026-06-13 21:00:00,Card,success,,True,True,,,,,,0,0,20,0.938,19691.26,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,test
CASE00007,TXN000007,CUST00285,payment_success,successful,554.4,0.0,2026-06-19 09:00:00,Card,success,,True,True,,,,,,0,0,16,0.803,53734.55,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00008,TXN000008,CUST00135,subscription_renewal_failed,failed_subscription,710.33,710.33,2026-07-24 07:00:00,UPI,failed_recurring,bank decline,,,failed,active_pending_retry,,,,0,0,25,0.884,59352.95,reliable,False,False,True,usually_recovers_via_retry,True,recovered,710.33,True,retry_succeeded,train
CASE00009,TXN000009,CUST00191,payment_failed,failed_payment,2232.72,2232.72,2026-07-27 00:00:00,UPI,failed,UPI timeout,True,True,,,,,,3,4,11,0.207,5546.38,frequent_failure,False,True,False,rarely_recovers,False,not_recovered,0.0,True,exceeded_retry_limit_unrecovered,train
CASE00010,TXN000010,CUST00248,checkout_abandoned,checkout_abandonment,1297.19,1297.19,2026-08-19 08:00:00,Card,abandoned,,True,False,,,,,,0,1,4,0.912,12789.16,occasional_failure,False,False,True,usually_needs_reminder,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00011,TXN000011,CUST00247,payment_success,successful,4152.93,0.0,2026-07-30 01:00:00,Card,success,,True,True,,,,,,0,0,18,0.904,34885.55,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00012,TXN000012,CUST00017,checkout_abandoned,checkout_abandonment,7032.61,7032.61,2026-05-22 14:00:00,UPI,abandoned,,True,False,,,,,,0,0,22,0.86,16663.68,reliable,False,False,True,usually_recovers_via_retry,True,recovered,7032.61,True,paid_after_reminder_or_link,train
CASE00013,TXN000013,CUST00197,payment_success,successful,3139.41,0.0,2026-06-19 20:00:00,Netbanking,success,,True,True,,,,,,0,0,24,0.962,42906.6,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00014,TXN000014,CUST00094,checkout_abandoned,checkout_abandonment,1400.11,1400.11,2026-06-17 10:00:00,Card,abandoned,,True,False,,,,,,0,1,9,0.627,8476.85,occasional_failure,False,False,True,usually_needs_reminder,False,not_recovered,0.0,True,no_recovery_within_window,train
CASE00015,TXN000015,CUST00412,payment_success,successful,1190.46,0.0,2026-06-11 23:00:00,UPI,success,,True,True,,,,,,0,0,11,0.975,23850.28,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00016,TXN000016,CUST00441,payment_success,successful,3095.53,0.0,2026-05-23 13:00:00,Netbanking,success,,True,True,,,,,,0,0,25,0.909,270987.23,reliable,False,False,True,usually_recovers_via_retry,False,not_applicable,0.0,False,not_applicable,train
CASE00017,TXN000017,CUST00133,invoice_overdue,overdue_receivable,17640.9,17640.9,2026-08-20 00:00:00,Card,overdue,,,,,,overdue,2026-08-13,7.0,0,1,26,0.931,49183.94,reliable,False,False,True,usually_recovers_via_retry,True,recovered,13259.63,True,paid_after_reminder_or_link,train
CASE00018,TXN000018,CUST00077,payment_success,successful,676.22,0.0,2026-07-05 00:00:00,UPI,success,,True,True,,,,,,0,0,3,0.848,4197.97,occasional_failure,False,False,True,usually_needs_reminder,False,not_applicable,0.0,False,not_applicable,train
